iteration,encoding,strategy,instance,optimum found,timetotal,timesolving,value
1,./enc/basic_with_cut.lp,bb,instance_real1,SATISFIABLE,1800.010,1781.41,1380 0 100
1,./enc/basic_without_cut.lp,bb,instance_real1,SATISFIABLE,1800.000,1774.14,1685 1 92
1,./enc/lin_with_cut.lp,bb,instance_real1,SATISFIABLE,1800.001,1796.68,1270 0 100
1,./enc/lin_without_cut.lp,bb,instance_real1,SATISFIABLE,1800.011,1796.36,2474 0 74
1,./enc/basic_with_cut.lp,bb,instance_real1_c,SATISFIABLE,1800.001,1775.84,1040 59 99
1,./enc/basic_without_cut.lp,bb,instance_real1_c,SATISFIABLE,1800.002,1774.62,1682 27 83
1,./enc/lin_with_cut.lp,bb,instance_real1_c,SATISFIABLE,1800.000,1796.85,871 98 100
1,./enc/lin_without_cut.lp,bb,instance_real1_c,SATISFIABLE,1800.012,1796.64,3053 0 61
1,./enc/basic_with_cut.lp,bb,instance_real1_d,SATISFIABLE,1800.001,1775.93,1919 2 99
1,./enc/basic_without_cut.lp,bb,instance_real1_d,SATISFIABLE,1800.000,1774.40,2758 0 87
1,./enc/lin_with_cut.lp,bb,instance_real1_d,SATISFIABLE,1800.001,1796.40,1804 0 100
1,./enc/lin_without_cut.lp,bb,instance_real1_d,SATISFIABLE,1800.000,1796.27,5010 0 55
1,./enc/basic_with_cut.lp,bb,instance_real1_o,SATISFIABLE,1800.000,1776.29,2407 0 100
1,./enc/basic_without_cut.lp,bb,instance_real1_o,SATISFIABLE,1800.000,1774.98,3264 0 87
1,./enc/lin_with_cut.lp,bb,instance_real1_o,OPTIMUM FOUND,1038.850,1035.22,2399 100
1,./enc/lin_without_cut.lp,bb,instance_real1_o,SATISFIABLE,1800.000,1795.93,2791 94
1,./enc/basic_with_cut.lp,bb,instance_real1h,OPTIMUM FOUND,1359.153,1334.91,0 51 71
1,./enc/basic_without_cut.lp,bb,instance_real1h,SATISFIABLE,1800.000,1774.52,0 68 71
